feature,display_name,group,mean_abs_shap,std_abs_shap
cnn_emb_86,cnn_emb_86,CNN Embedding,0.0,0.0
cnn_emb_87,cnn_emb_87,CNN Embedding,0.0,0.0
cnn_emb_88,cnn_emb_88,CNN Embedding,0.0,0.0
cnn_emb_89,cnn_emb_89,CNN Embedding,0.0,0.0
cnn_emb_90,cnn_emb_90,CNN Embedding,0.0,0.0
cnn_emb_91,cnn_emb_91,CNN Embedding,0.0,0.0
cnn_emb_92,cnn_emb_92,CNN Embedding,0.0,0.0
cnn_emb_93,cnn_emb_93,CNN Embedding,0.0,0.0
cnn_emb_94,cnn_emb_94,CNN Embedding,0.0,0.0
cnn_emb_95,cnn_emb_95,CNN Embedding,0.0,0.0
cnn_emb_96,cnn_emb_96,CNN Embedding,0.0,0.0
cnn_emb_97,cnn_emb_97,CNN Embedding,0.0,0.0
cnn_emb_98,cnn_emb_98,CNN Embedding,0.0,0.0
cnn_emb_99,cnn_emb_99,CNN Embedding,0.0,0.0
cnn_emb_100,cnn_emb_100,CNN Embedding,0.0,0.0
cnn_emb_101,cnn_emb_101,CNN Embedding,0.0,0.0
cnn_emb_102,cnn_emb_102,CNN Embedding,0.0,0.0
cnn_emb_103,cnn_emb_103,CNN Embedding,0.0,0.0
cnn_emb_104,cnn_emb_104,CNN Embedding,0.0,0.0
cnn_emb_105,cnn_emb_105,CNN Embedding,0.0,0.0
cnn_emb_106,cnn_emb_106,CNN Embedding,0.0,0.0
cnn_emb_107,cnn_emb_107,CNN Embedding,0.0,0.0
cnn_emb_108,cnn_emb_108,CNN Embedding,0.0,0.0
cnn_emb_109,cnn_emb_109,CNN Embedding,0.0,0.0
cnn_emb_110,cnn_emb_110,CNN Embedding,0.0,0.0
cnn_emb_111,cnn_emb_111,CNN Embedding,0.0,0.0
cnn_emb_112,cnn_emb_112,CNN Embedding,0.0,0.0
cnn_emb_113,cnn_emb_113,CNN Embedding,0.0,0.0
cnn_emb_114,cnn_emb_114,CNN Embedding,0.0,0.0
cnn_emb_115,cnn_emb_115,CNN Embedding,0.0,0.0
cnn_emb_116,cnn_emb_116,CNN Embedding,0.0,0.0
cnn_emb_117,cnn_emb_117,CNN Embedding,0.0,0.0
cnn_emb_118,cnn_emb_118,CNN Embedding,0.0,0.0
cnn_emb_119,cnn_emb_119,CNN Embedding,0.0,0.0
cnn_emb_120,cnn_emb_120,CNN Embedding,0.0,0.0
cnn_emb_122,cnn_emb_122,CNN Embedding,0.0,0.0
cnn_emb_123,cnn_emb_123,CNN Embedding,0.0,0.0
cnn_emb_124,cnn_emb_124,CNN Embedding,0.0,0.0
cnn_emb_125,cnn_emb_125,CNN Embedding,0.0,0.0
cnn_emb_126,cnn_emb_126,CNN Embedding,0.0,0.0
cnn_emb_127,cnn_emb_127,CNN Embedding,0.0,0.0
cnn_emb_129,cnn_emb_129,CNN Embedding,0.0,0.0
cnn_emb_130,cnn_emb_130,CNN Embedding,0.0,0.0
cnn_emb_131,cnn_emb_131,CNN Embedding,0.0,0.0
cnn_emb_132,cnn_emb_132,CNN Embedding,0.0,0.0
cnn_emb_133,cnn_emb_133,CNN Embedding,0.0,0.0
cnn_emb_134,cnn_emb_134,CNN Embedding,0.0,0.0
cnn_emb_135,cnn_emb_135,CNN Embedding,0.0,0.0
cnn_emb_136,cnn_emb_136,CNN Embedding,0.0,0.0
cnn_emb_137,cnn_emb_137,CNN Embedding,0.0,0.0
cnn_emb_138,cnn_emb_138,CNN Embedding,0.0,0.0
cnn_emb_139,cnn_emb_139,CNN Embedding,0.0,0.0
cnn_emb_140,cnn_emb_140,CNN Embedding,0.0,0.0
cnn_emb_141,cnn_emb_141,CNN Embedding,0.0,0.0
cnn_emb_142,cnn_emb_142,CNN Embedding,0.0,0.0
cnn_emb_143,cnn_emb_143,CNN Embedding,0.0,0.0
cnn_emb_144,cnn_emb_144,CNN Embedding,0.0,0.0
cnn_emb_145,cnn_emb_145,CNN Embedding,0.0,0.0
cnn_emb_146,cnn_emb_146,CNN Embedding,0.0,0.0
cnn_emb_147,cnn_emb_147,CNN Embedding,0.0,0.0
cnn_emb_148,cnn_emb_148,CNN Embedding,0.0,0.0
cnn_emb_149,cnn_emb_149,CNN Embedding,0.0,0.0
cnn_emb_150,cnn_emb_150,CNN Embedding,0.0,0.0
cnn_emb_152,cnn_emb_152,CNN Embedding,0.0,0.0
cnn_emb_153,cnn_emb_153,CNN Embedding,0.0,0.0
cnn_emb_154,cnn_emb_154,CNN Embedding,0.0,0.0
cnn_emb_155,cnn_emb_155,CNN Embedding,0.0,0.0
cnn_emb_156,cnn_emb_156,CNN Embedding,0.0,0.0
cnn_emb_157,cnn_emb_157,CNN Embedding,0.0,0.0
cnn_emb_158,cnn_emb_158,CNN Embedding,0.0,0.0
cnn_emb_159,cnn_emb_159,CNN Embedding,0.0,0.0
cnn_emb_161,cnn_emb_161,CNN Embedding,0.0,0.0
cnn_emb_162,cnn_emb_162,CNN Embedding,0.0,0.0
cnn_emb_163,cnn_emb_163,CNN Embedding,0.0,0.0
cnn_emb_164,cnn_emb_164,CNN Embedding,0.0,0.0
cnn_emb_165,cnn_emb_165,CNN Embedding,0.0,0.0
cnn_emb_166,cnn_emb_166,CNN Embedding,0.0,0.0
cnn_emb_167,cnn_emb_167,CNN Embedding,0.0,0.0
cnn_emb_168,cnn_emb_168,CNN Embedding,0.0,0.0
cnn_emb_169,cnn_emb_169,CNN Embedding,0.0,0.0
cnn_emb_170,cnn_emb_170,CNN Embedding,0.0,0.0
cnn_emb_171,cnn_emb_171,CNN Embedding,0.0,0.0
