model,fold,val_auc,optimal_threshold,test_auc_default,test_acc_default,test_prec_default,test_rec_default,test_f1_default,test_auc_optimal,test_acc_optimal,test_prec_optimal,test_rec_optimal,test_f1_optimal
RandomForest,0,0.5687049124012367,0.2545698166431594,0.6417112299465242,0.66,0.0,0.0,0.0,0.6417112299465242,0.46,0.34375,0.6470588235294118,0.4489795918367347
RandomForest,1,0.8430232558139535,0.41,0.27962899347303327,0.5359477124183006,0.0,0.0,0.0,0.27962899347303327,0.5359477124183006,0.0,0.0,0.0
RandomForest,2,0.4724137931034482,0.22162993039443155,0.7558139534883721,0.8211920529801324,0.7352941176470589,0.5813953488372093,0.6493506493506493,0.7558139534883721,0.2847682119205298,0.2847682119205298,1.0,0.44329896907216493
RandomForest,3,0.44772727272727275,0.55,0.46465517241379317,0.5298013245033113,0.0,0.0,0.0,0.46465517241379317,0.5894039735099338,0.0,0.0,0.0
RandomForest,4,0.43137254901960786,0.5448183937850922,0.3679545454545454,0.6944444444444444,0.0,0.0,0.0,0.3679545454545454,0.6944444444444444,0.0,0.0,0.0
XGBoost,0,0.5717966334592923,0.025153351947665215,0.6042780748663102,0.7066666666666667,0.64,0.3137254901960784,0.42105263157894735,0.6042780748663102,0.46,0.34375,0.6470588235294118,0.4489795918367347
XGBoost,1,0.5833333333333333,0.02658463642001152,0.3416351769151494,0.35294117647058826,0.0,0.0,0.0,0.3416351769151494,0.4117647058823529,0.32727272727272727,0.2535211267605634,0.2857142857142857
XGBoost,2,0.4544334975369458,0.0129714859649539,0.8255813953488371,0.7615894039735099,0.5573770491803278,0.7906976744186046,0.6538461538461539,0.8255813953488371,0.40397350993377484,0.3233082706766917,1.0,0.48863636363636365
XGBoost,3,0.734090909090909,0.08465313911437988,0.3926108374384236,0.5827814569536424,0.18181818181818182,0.22857142857142856,0.20253164556962025,0.3926108374384236,0.40397350993377484,0.19101123595505617,0.4857142857142857,0.27419354838709675
XGBoost,4,0.5365418894830659,0.18172626197338104,0.34159090909090906,0.5694444444444444,0.0,0.0,0.0,0.34159090909090906,0.5069444444444444,0.0,0.0,0.0
LightGBM,0,0.5424252834077636,0.0006553062702504219,0.5133689839572192,0.6466666666666666,0.47058823529411764,0.3137254901960784,0.3764705882352941,0.5133689839572192,0.34,0.2894736842105263,0.6470588235294118,0.4
LightGBM,1,0.4612403100775193,0.00011191658916747482,0.3555479216763998,0.35294117647058826,0.1956521739130435,0.1267605633802817,0.15384615384615385,0.3555479216763998,0.4117647058823529,0.32727272727272727,0.2535211267605634,0.2857142857142857
LightGBM,2,0.4125615763546798,0.00031253072911861227,0.7732558139534883,0.8211920529801324,0.6538461538461539,0.7906976744186046,0.7157894736842105,0.7732558139534883,0.3443708609271523,0.3028169014084507,1.0,0.4648648648648649
LightGBM,3,0.7831818181818182,0.00046334822204241666,0.5344827586206896,0.5894039735099338,0.2857142857142857,0.5142857142857142,0.3673469387755102,0.5344827586206896,0.5231788079470199,0.29213483146067415,0.7428571428571429,0.41935483870967744
LightGBM,4,0.5935828877005348,0.0018082257463474293,0.32931818181818184,0.4375,0.0,0.0,0.0,0.32931818181818184,0.3680555555555556,0.12698412698412698,0.18181818181818182,0.14953271028037382
SVM_RBF,0,0.6243558914462384,0.04600301124305564,0.554367201426025,0.66,0.0,0.0,0.0,0.554367201426025,0.46,0.34375,0.6470588235294118,0.4489795918367347
SVM_RBF,1,0.8643410852713179,0.11714566999095445,0.4187564410855376,0.5359477124183006,0.0,0.0,0.0,0.4187564410855376,0.35947712418300654,0.0,0.0,0.0
SVM_RBF,2,0.454679802955665,0.04401031830997241,0.808139534883721,0.8211920529801324,0.6538461538461539,0.7906976744186046,0.7157894736842105,0.808139534883721,0.5231788079470199,0.3739130434782609,1.0,0.5443037974683544
SVM_RBF,3,0.41909090909090907,0.5373760997053084,0.5899014778325122,0.6423841059602649,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.5899014778325122,0.6423841059602649,0.22857142857142856,0.22857142857142856,0.22857142857142856
SVM_RBF,4,0.4777183600713012,0.39614993832774575,0.42522727272727273,0.6944444444444444,0.0,0.0,0.0,0.42522727272727273,0.6944444444444444,0.0,0.0,0.0
