threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std
0.5599999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5699999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5799999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5899999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5999999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6099999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6199999999999998,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6299999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6399999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6499999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6599999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6699999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6799999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6899999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.6999999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7099999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7199999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7299999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7399999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7499999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7599999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7699999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7799999999999997,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7899999999999996,0.667156862745098,0.020222444953376644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
