threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,fold
0.8499999999999996,0.6470588235294118,0.0,0.0,1.0,0.0,0,11,0,6,fold_1
0.8599999999999995,0.6470588235294118,0.0,0.0,1.0,0.0,0,11,0,6,fold_1
0.8699999999999996,0.6470588235294118,0.0,0.0,1.0,0.0,0,11,0,6,fold_1
0.8799999999999996,0.6470588235294118,0.0,0.0,1.0,0.0,0,11,0,6,fold_1
0.8899999999999996,0.6470588235294118,0.0,0.0,1.0,0.0,0,11,0,6,fold_1
0.8999999999999996,0.6470588235294118,0.0,0.0,1.0,0.0,0,11,0,6,fold_1
0.1,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.11,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.12,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.13,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.13999999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.14999999999999997,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.15999999999999998,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.16999999999999998,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.17999999999999997,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.18999999999999995,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.19999999999999996,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.20999999999999996,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.21999999999999995,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.22999999999999995,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.23999999999999994,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.24999999999999992,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.2599999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.2699999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.2799999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.2899999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_2
0.29999999999999993,0.5,0.38461538461538464,1.0,0.2727272727272727,0.5555555555555556,5,3,8,0,fold_2
0.30999999999999994,0.5625,0.4166666666666667,1.0,0.36363636363636365,0.5882352941176471,5,4,7,0,fold_2
0.3199999999999999,0.625,0.4444444444444444,0.8,0.5454545454545454,0.5714285714285714,4,6,5,1,fold_2
0.32999999999999985,0.625,0.4444444444444444,0.8,0.5454545454545454,0.5714285714285714,4,6,5,1,fold_2
0.33999999999999986,0.625,0.4444444444444444,0.8,0.5454545454545454,0.5714285714285714,4,6,5,1,fold_2
0.34999999999999987,0.6875,0.5,0.8,0.6363636363636364,0.6153846153846154,4,7,4,1,fold_2
0.3599999999999999,0.75,0.5714285714285714,0.8,0.7272727272727273,0.6666666666666666,4,8,3,1,fold_2
0.3699999999999999,0.9375,1.0,0.8,1.0,0.8888888888888888,4,11,0,1,fold_2
0.3799999999999999,0.8125,1.0,0.4,1.0,0.5714285714285714,2,11,0,3,fold_2
0.3899999999999999,0.8125,1.0,0.4,1.0,0.5714285714285714,2,11,0,3,fold_2
0.3999999999999998,0.75,1.0,0.2,1.0,0.3333333333333333,1,11,0,4,fold_2
0.4099999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.4199999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.4299999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.43999999999999984,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.44999999999999984,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.45999999999999985,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.46999999999999986,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.47999999999999976,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.48999999999999977,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.4999999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5099999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5199999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5299999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5399999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5499999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5599999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5699999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5799999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5899999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.5999999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6099999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6199999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6299999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6399999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6499999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6599999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6699999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6799999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6899999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.6999999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7099999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7199999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7299999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7399999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7499999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7599999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7699999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7799999999999997,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7899999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.7999999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8099999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8199999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8299999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8399999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8499999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8599999999999995,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8699999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8799999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8899999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.8999999999999996,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_2
0.1,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.11,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.12,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.13,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.13999999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.14999999999999997,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.15999999999999998,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.16999999999999998,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.17999999999999997,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.18999999999999995,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.19999999999999996,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.20999999999999996,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.21999999999999995,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.22999999999999995,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.23999999999999994,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.24999999999999992,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.2599999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.2699999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.2799999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.2899999999999999,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.29999999999999993,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.30999999999999994,0.3125,0.3125,1.0,0.0,0.47619047619047616,5,0,11,0,fold_3
0.3199999999999999,0.375,0.3076923076923077,0.8,0.18181818181818182,0.4444444444444444,4,2,9,1,fold_3
0.32999999999999985,0.625,0.4444444444444444,0.8,0.5454545454545454,0.5714285714285714,4,6,5,1,fold_3
0.33999999999999986,0.75,0.5714285714285714,0.8,0.7272727272727273,0.6666666666666666,4,8,3,1,fold_3
0.34999999999999987,0.6875,0.5,0.2,0.9090909090909091,0.2857142857142857,1,10,1,4,fold_3
0.3599999999999999,0.75,1.0,0.2,1.0,0.3333333333333333,1,11,0,4,fold_3
0.3699999999999999,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.3799999999999999,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.3899999999999999,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.3999999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.4099999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.4199999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.4299999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.43999999999999984,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.44999999999999984,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.45999999999999985,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.46999999999999986,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.47999999999999976,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.48999999999999977,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
0.4999999999999998,0.6875,0.0,0.0,1.0,0.0,0,11,0,5,fold_3
