Feature,Importance,Std
CNN_cnn_feature_1972,0.006034583377295813,0.002311151087487852
CNN_cnn_feature_1451,0.005963599375173373,0.003559759408097972
CNN_cnn_feature_1480,0.005879479548741051,0.0023660043413626496
Mean_30_60,0.00580258732593719,0.0007505091321632107
CNN_cnn_feature_1860,0.005738709604758655,0.0022544495848607813
CNN_cnn_feature_194,0.005697252621762077,0.0012601424601703672
CNN_cnn_feature_1497,0.005671403360747698,0.002799449467998534
CNN_cnn_feature_1581,0.00564020178957811,0.0019107328665733932
CNN_cnn_feature_437,0.005630043798964711,0.0007706469787817821
ApproxVol_30_60,0.005544185826210956,0.0016797293587090599
CNN_cnn_feature_2016,0.005510330286442038,0.0032613190886132985
Tissue_Concentration,0.005488755789416944,0.0029226645705866506
CNN_cnn_feature_1046,0.0054822406118798465,0.0026897997153741676
Age_TissueByLung,0.005450753058558201,0.0014451040764419075
CNN_cnn_feature_594,0.005300861169704895,0.0015544275291098286
Tissue_Density,0.005144248166670978,0.0013960330921051099
Log_Volume,0.005118381954973486,0.0026747213860656345
Age_Tissue_Interaction,0.00510411251652724,0.002214130198868827
CNN_cnn_feature_1394,0.005071168567637917,0.0020448454259683704
CNN_cnn_feature_1733,0.00502380345221818,0.001628646275485951
Lung_Involvement_Ratio,0.004988866602193896,0.0026544843594988494
CNN_cnn_feature_500,0.004911115110911291,0.0019710133225029416
CNN_cnn_feature_871,0.004910005749342689,0.003001031511973852
CNN_cnn_feature_1869,0.004844033446386134,0.002504433948568848
Avg_TissueByTotal_30_60,0.0046445680948493055,0.002972895633333615
Avg_TissueByLung_30_60,0.004631713735015501,0.0035236368941620466
CNN_cnn_feature_1698,0.004523697338860527,0.0020942709358360485
Age,0.004497341281023646,0.001295911542856027
CNN_cnn_feature_1122,0.0044841534898201665,0.001904568615869339
CNN_cnn_feature_2000,0.004420632239880971,0.002421875114980568
CNN_cnn_feature_503,0.00440279244092053,0.0019844203993336445
CNN_cnn_feature_61,0.004396360954671238,0.001781675917334716
CNN_cnn_feature_972,0.004148983544139007,0.0016763663212945644
Skew_30_60,0.004064082991044173,0.0007895233037577903
CNN_cnn_feature_864,0.004013610368488704,0.0018048599372398157
CNN_cnn_feature_302,0.003962120509503773,0.0008752280574414807
Kurtosis_30_60,0.003943145735880454,0.002056074179277108
Smoking_Tissue,0.0038848427398154766,0.0013096687221135276
CNN_cnn_feature_1949,0.0038069602576854314,0.0015008536265344674
Avg_Tissue_30_60,0.0037872385066231953,0.0009192046026236094
Tissue_Squared,0.0036929338864373747,0.001001387940326304
Avg_Tissue_thickness_30_60,0.00339436893935298,0.0011679765309416904
CNN_cnn_feature_211,0.003229297305295866,0.001651656828110443
Age_Squared,0.003033689790176537,0.001269463624069803
