Feature,Importance,Std
CNN_cnn_feature_1254,0.009360672348380183,0.0024543598747685147
CNN_cnn_feature_1798,0.008915799592723041,0.0024087065995935207
CNN_cnn_feature_1130,0.008895542454030366,0.0065258258593571105
CNN_cnn_feature_1445,0.008697516134685527,0.00549026734065473
CNN_cnn_feature_700,0.008661431155151254,0.004248513680989094
CNN_cnn_feature_1097,0.00841685370063729,0.0022630590812713985
CNN_cnn_feature_39,0.008308699990891287,0.005968647923162209
CNN_cnn_feature_1992,0.00826122644755901,0.0016365694573806746
CNN_cnn_feature_1542,0.008230354190168793,0.006490845603534078
CNN_cnn_feature_152,0.008229113118232401,0.00830903804408372
CNN_cnn_feature_177,0.008167983431103521,0.003599884422805053
CNN_cnn_feature_7,0.008040644033429717,0.0036432873012839755
CNN_cnn_feature_2027,0.00798702689966713,0.0023578619488079425
CNN_cnn_feature_1855,0.00796860487942532,0.007218790360566756
CNN_cnn_feature_1934,0.007967041472617493,0.0025351124720705293
CNN_cnn_feature_787,0.00778537636274097,0.001703842510855406
CNN_cnn_feature_1576,0.007607423971921594,0.008603776582012772
CNN_cnn_feature_1331,0.0075235475353097325,0.0051147027610491565
CNN_cnn_feature_1690,0.007504499428097167,0.0015136232470973933
CNN_cnn_feature_658,0.0074886384181389945,0.0021478775180634817
CNN_cnn_feature_1568,0.007431844524527387,0.004216010343928974
CNN_cnn_feature_120,0.007394056937172444,0.0024020145570611624
CNN_cnn_feature_1830,0.007207790984219596,0.004938319145878785
CNN_cnn_feature_1683,0.0069924327575429214,0.0037519697008626235
CNN_cnn_feature_59,0.006989321953734649,0.002763239970848508
CNN_cnn_feature_548,0.006988211785722958,0.0027097458320850328
Lung_Involvement_Ratio,0.006974665645296943,0.007319083642100586
CNN_cnn_feature_1143,0.006958771589839872,0.0030155057284111065
CNN_cnn_feature_940,0.006827989332857909,0.004679761460601911
CNN_cnn_feature_66,0.0067862157415824464,0.0034413509089537522
CNN_cnn_feature_1499,0.006736941820547171,0.002717591259564626
CNN_cnn_feature_802,0.006687139683375978,0.0019986297147597427
CNN_cnn_feature_79,0.006643357799861568,0.00183200743120571
CNN_cnn_feature_297,0.006630656110711409,0.0017996285143188444
CNN_cnn_feature_1124,0.006606286626551906,0.0031562513543635044
CNN_cnn_feature_49,0.006567562414889793,0.0026216491638612538
CNN_cnn_feature_1844,0.006533970397584354,0.002719018196434821
Log_NumPixels,0.00650044054259775,0.00274707766442365
CNN_cnn_feature_1561,0.006323664721804768,0.002608315872705479
Avg_NumTissuePixel_30_60,0.0062773727888079545,0.0028964228639038617
CNN_cnn_feature_266,0.006152328923011254,0.0014377746785807352
CNN_cnn_feature_470,0.006044617497062581,0.002289375901198777
CNN_cnn_feature_1623,0.0059772287918386565,0.0025688353373317864
CNN_cnn_feature_706,0.005856903770568867,0.0019368100825724514
CNN_cnn_feature_429,0.00584315897969388,0.0025448784517958078
CNN_cnn_feature_1103,0.005718757215242713,0.0035473355383897234
CNN_cnn_feature_500,0.005632562814736201,0.0035128506266473777
CNN_cnn_feature_165,0.005600898992616299,0.001511295151640374
CNN_cnn_feature_880,0.0055902711696852354,0.0028340696257004336
CNN_cnn_feature_1869,0.005539568499064966,0.0030099028997176897
Tissue_Concentration,0.005524489852199223,0.0031988859348821143
CNN_cnn_feature_339,0.005475781986284546,0.00295943113501834
CNN_cnn_feature_1251,0.005462637800455361,0.001678627020912263
CNN_cnn_feature_883,0.005361684990527878,0.002159190609563235
CNN_cnn_feature_949,0.005267223889947839,0.0007497297936330563
CNN_cnn_feature_1153,0.005212860047796411,0.001511334268705702
CNN_cnn_feature_1852,0.005139438426412676,0.0022662031064761235
Log_Volume,0.0051121325353457245,0.003399732863727714
CNN_cnn_feature_540,0.005087789296415403,0.0015852460380295014
Mean_30_60,0.0049813229966660585,0.001105362404646527
CNN_cnn_feature_1456,0.004973167183804092,0.002910740241534481
CNN_cnn_feature_704,0.004917492725041437,0.0031538433107067285
CNN_cnn_feature_959,0.004903156827488652,0.0033319336059842407
CNN_cnn_feature_158,0.0048217273640064244,0.0028040745777318785
CNN_cnn_feature_77,0.0046797212264524084,0.0012747851895462776
Avg_Tissue_thickness_30_60,0.004655651842050874,0.0013044066062261272
CNN_cnn_feature_892,0.004597248124841103,0.0019461468757834687
CNN_cnn_feature_715,0.00452100640978644,0.0014737075662503247
Skew_30_60,0.00443483054108674,0.0018867479859688945
CNN_cnn_feature_738,0.004363174839108982,0.0032295060525629974
Tissue_Density,0.004030931719395094,0.0009268396892700418
ApproxVol_30_60,0.004025030810369534,0.0025945331218761715
Kurtosis_30_60,0.0039235036174713935,0.001769249389996937
