config,n_pca_components,model,fold,n_features,val_auc,optimal_threshold,test_auc,test_acc,test_prec,test_rec,test_f1
pca_100,100,XGBoost,4,112,0.31194295900178254,0.0764271691441536,0.4988636363636364,0.4930555555555556,0.32098765432098764,0.5909090909090909,0.416
pca_100,100,LightGBM,0,112,0.44057025077293027,0.12875772687483397,0.7754010695187166,0.72,0.6666666666666666,0.35294117647058826,0.46153846153846156
pca_100,100,LightGBM,1,112,0.5755813953488372,0.9997540704108899,0.22105805565097902,0.477124183006536,0.0,0.0,0.0
pca_100,100,LightGBM,2,112,0.4233990147783251,0.24263846204464673,0.8313953488372093,0.7615894039735099,0.5443037974683544,1.0,0.7049180327868853
pca_100,100,LightGBM,3,112,0.6463636363636364,0.000654623282632247,0.6697044334975369,0.5231788079470199,0.32710280373831774,1.0,0.49295774647887325
pca_100,100,LightGBM,4,112,0.285204991087344,0.003812547557656948,0.4865909090909091,0.3680555555555556,0.26262626262626265,0.5909090909090909,0.36363636363636365
pca_150,150,LogisticRegression_L2,0,162,0.4706286499484713,inf,0.45989304812834225,0.66,0.0,0.0,0.0
pca_150,150,LogisticRegression_L2,1,162,0.7703488372093024,1.0,0.4242528340776366,0.41830065359477125,0.4,0.5070422535211268,0.4472049689440994
pca_150,150,LogisticRegression_L2,2,162,0.6429802955665025,1.0,0.40600775193798444,0.4105960264900662,0.2125,0.3953488372093023,0.2764227642276423
pca_150,150,LogisticRegression_L2,3,162,0.5181818181818182,1.0,0.2327586206896552,0.3576158940397351,0.0,0.0,0.0
pca_150,150,LogisticRegression_L2,4,162,0.5855614973262032,1.0,0.5368181818181819,0.5069444444444444,0.3333333333333333,0.6136363636363636,0.432
pca_150,150,RandomForest,0,162,0.46839574029543113,0.33975088456693814,0.7130124777183602,0.64,0.45454545454545453,0.29411764705882354,0.35714285714285715
pca_150,150,RandomForest,1,162,0.8120155038759691,0.2799721025710055,0.30762624527653726,0.35294117647058826,0.28125,0.2535211267605634,0.26666666666666666
pca_150,150,RandomForest,2,162,0.3524630541871921,0.3501082485734409,0.5465116279069767,0.4768211920529801,0.3,0.627906976744186,0.40601503759398494
pca_150,150,RandomForest,3,162,0.6422727272727272,0.41788829419328477,0.5165024630541872,0.5298013245033113,0.29545454545454547,0.7428571428571429,0.42276422764227645
pca_150,150,RandomForest,4,162,0.4491978609625668,0.27278443090782645,0.2515909090909091,0.24305555555555555,0.25925925925925924,0.7954545454545454,0.39106145251396646
pca_150,150,XGBoost,0,162,0.539333562349708,0.03991583734750748,0.8716577540106952,0.76,0.5862068965517241,1.0,0.7391304347826086
pca_150,150,XGBoost,1,162,0.5949612403100775,0.009467343799769878,0.4282033665407076,0.29411764705882354,0.2465753424657534,0.2535211267605634,0.25
pca_150,150,XGBoost,2,162,0.23497536945812805,0.09838584065437317,0.7422480620155039,0.46357615894039733,0.3467741935483871,1.0,0.5149700598802395
pca_150,150,XGBoost,3,162,0.6831818181818182,0.02832423523068428,0.432512315270936,0.23178807947019867,0.19548872180451127,0.7428571428571429,0.30952380952380953
pca_150,150,XGBoost,4,162,0.6060606060606061,0.3164104223251343,0.6645454545454546,0.7569444444444444,1.0,0.20454545454545456,0.33962264150943394
pca_150,150,LightGBM,0,162,0.3957402954311233,0.008877607926724393,0.8163992869875223,0.7666666666666667,0.6142857142857143,0.8431372549019608,0.7107438016528925
pca_150,150,LightGBM,1,162,0.6124031007751938,0.1777363419665489,0.37409824802473374,0.5359477124183006,0.5,0.1267605633802817,0.20224719101123595
pca_150,150,LightGBM,2,162,0.34581280788177343,0.8669744881331138,0.6472868217054264,0.5960264900662252,0.0,0.0,0.0
pca_150,150,LightGBM,3,162,0.7118181818181818,0.1975009387310461,0.7096059113300492,0.5298013245033113,0.29545454545454547,0.7428571428571429,0.42276422764227645
pca_150,150,LightGBM,4,162,0.6060606060606061,0.04415854081629052,0.6729545454545455,0.6944444444444444,0.5,0.4090909090909091,0.45
